 ************************  INITIAL MISFIT ************************ 
 STATION: EFI_R_P_ff Misfit:   0.668012917    
 STATION: EFI_Z_P_ff Misfit:   0.131809860    
 STATION: FDF_Z_P_ff Misfit:   0.602901459    
 STATION: PAYG_R_P_f Misfit:   0.119940788    
 STATION: PAYG_Z_P_f Misfit:   0.137677327    
 STATION: PMSA_Z_P_f Misfit:   0.180880025    
 STATION: RCBR_R_P_f Misfit:    9.66094732E-02
 STATION: RCBR_Z_P_f Misfit:   0.116718441    
 STATION: RPN_R_P_ff Misfit:   0.499077320    
 STATION: RPN_Z_P_ff Misfit:   0.295284837    
 STATION: TRIS_Z_P_f Misfit:   0.583728552    
 STATION: EFI_R_S_ff Misfit:   0.634067953    
 STATION: EFI_Z_S_ff Misfit:    8.98888037E-02
 STATION: FDF_R_S_ff Misfit:   0.363613486    
 STATION: FDF_Z_S_ff Misfit:   0.283148557    
 STATION: HOPE_Z_S_f Misfit:   0.412481010    
 STATION: MPG_R_S_ff Misfit:   0.325044036    
 STATION: MPG_T_S_ff Misfit:   0.123173632    
 STATION: MPG_Z_S_ff Misfit:   0.143768594    
 STATION: PAYG_R_S_f Misfit:    5.46019301E-02
 STATION: PAYG_T_S_f Misfit:    6.71572164E-02
 STATION: PAYG_Z_S_f Misfit:    5.56381270E-02
 STATION: PMSA_Z_S_f Misfit:   0.249275327    
 STATION: RCBR_R_S_f Misfit:    6.29502758E-02
 STATION: RCBR_T_S_f Misfit:   0.154440060    
 STATION: RCBR_Z_S_f Misfit:    3.40532064E-02
 STATION: RPN_R_S_ff Misfit:    8.85476768E-02
 STATION: RPN_T_S_ff Misfit:    8.70712996E-02
 STATION: RPN_Z_S_ff Misfit:   0.153923094    
 STATION: TRIS_Z_S_f Misfit:   0.288749814    
 ***
 Total misfit:   0.324648619    
 ***
 ************************ BEST MODEL ************************ 
 Spatial centroid module:    0.00000000      angle:    0.00000000    
 Temporal centroid:  -0.673447967    
 Duration:    12.5900326    
 Velocity abs:    1.26764464      velocity angle:    31.6701298    
 Amax:    57.4273949      Amin:    45.9419212      phi:   -42.8649216    
 Strike:    333.000000      dip:    36.0000000    
 ***********************
 STATION: EFI_R_P_ff Misfit:   0.290415525    
 STATION: EFI_Z_P_ff Misfit:   0.140767112    
 STATION: FDF_Z_P_ff Misfit:   0.616823614    
 STATION: PAYG_R_P_f Misfit:   0.150299549    
 STATION: PAYG_Z_P_f Misfit:   0.148848504    
 STATION: PMSA_Z_P_f Misfit:   0.329091132    
 STATION: RCBR_R_P_f Misfit:   0.134444281    
 STATION: RCBR_Z_P_f Misfit:   0.150293306    
 STATION: RPN_R_P_ff Misfit:   0.259786159    
 STATION: RPN_Z_P_ff Misfit:   0.150299743    
 STATION: TRIS_Z_P_f Misfit:   0.653090596    
 STATION: EFI_R_S_ff Misfit:   0.336382568    
 STATION: EFI_Z_S_ff Misfit:   0.115981981    
 STATION: FDF_R_S_ff Misfit:   0.334880710    
 STATION: FDF_Z_S_ff Misfit:   0.272403151    
 STATION: HOPE_Z_S_f Misfit:   0.568051338    
 STATION: MPG_R_S_ff Misfit:   0.319209754    
 STATION: MPG_T_S_ff Misfit:   0.149571970    
 STATION: MPG_Z_S_ff Misfit:   0.129002348    
 STATION: PAYG_R_S_f Misfit:    8.87785107E-02
 STATION: PAYG_T_S_f Misfit:    7.42117465E-02
 STATION: PAYG_Z_S_f Misfit:    8.24925378E-02
 STATION: PMSA_Z_S_f Misfit:   0.417436838    
 STATION: RCBR_R_S_f Misfit:   0.128998324    
 STATION: RCBR_T_S_f Misfit:   0.177000731    
 STATION: RCBR_Z_S_f Misfit:    6.45282790E-02
 STATION: RPN_R_S_ff Misfit:    3.17446589E-02
 STATION: RPN_T_S_ff Misfit:    9.56322551E-02
 STATION: RPN_Z_S_ff Misfit:    8.80209357E-02
 STATION: TRIS_Z_S_f Misfit:   0.350091100    
 ***
 total misfit:   0.279302090    
 ***
