 ************************  INITIAL MISFIT ************************ 
 STATION: AAK_Z_P_ff Misfit:    2.21548490E-02
 STATION: ALE_Z_P_ff Misfit:   0.301670492    
 STATION: ANMO_R_P_f Misfit:    1.15675256E-02
 STATION: ANMO_Z_P_f Misfit:    3.83188203E-02
 STATION: ANTO_R_P_f Misfit:    5.15161082E-02
 STATION: BORG_Z_P_f Misfit:    9.19622332E-02
 STATION: BRVK_Z_P_f Misfit:    3.50706913E-02
 STATION: CLF_Z_P_ff Misfit:    2.04229373E-02
 STATION: COLA_Z_P_f Misfit:    6.14033341E-02
 STATION: COR_R_P_ff Misfit:    5.36117181E-02
 STATION: CTAO_R_P_f Misfit:    4.41536233E-02
 STATION: CTAO_Z_P_f Misfit:    5.10120951E-02
 STATION: ECH_Z_P_ff Misfit:    1.72320399E-02
 STATION: ESK_Z_P_ff Misfit:    1.83517523E-02
 STATION: FFC_R_P_ff Misfit:   0.198878348    
 STATION: FFC_Z_P_ff Misfit:    3.43912505E-02
 STATION: FUTU_Z_P_f Misfit:    3.89415808E-02
 STATION: GNI_Z_P_ff Misfit:    4.01652269E-02
 STATION: HKT_R_P_ff Misfit:   0.107802205    
 STATION: HKT_Z_P_ff Misfit:    4.02527452E-02
 STATION: HRV_R_P_ff Misfit:    7.54368231E-02
 STATION: HRV_Z_P_ff Misfit:   0.131010771    
 STATION: INCN_R_P_f Misfit:   0.166645721    
 STATION: INCN_Z_P_f Misfit:   0.166371152    
 STATION: INU_R_P_ff Misfit:    6.26408085E-02
 STATION: INU_Z_P_ff Misfit:   0.146393910    
 STATION: JOHN_R_P_f Misfit:    3.89910154E-02
 STATION: JOHN_Z_P_f Misfit:    7.67075419E-02
 STATION: KBS_Z_P_ff Misfit:    6.33053035E-02
 STATION: KEV_R_P_ff Misfit:    1.50020616E-02
 STATION: KEV_Z_P_ff Misfit:    1.66745707E-02
 STATION: KIEV_R_P_f Misfit:   0.281160951    
 STATION: KIEV_Z_P_f Misfit:    4.45995331E-02
 STATION: KIP_R_P_ff Misfit:    4.04790789E-02
 STATION: KIP_Z_P_ff Misfit:   0.123745084    
 STATION: KIV_Z_P_ff Misfit:   0.128043696    
 STATION: KONO_R_P_f Misfit:    2.07101461E-02
 STATION: KONO_Z_P_f Misfit:    1.25663169E-02
 STATION: KURK_Z_P_f Misfit:    3.84581126E-02
 STATION: LVZ_Z_P_ff Misfit:    8.95100459E-03
 STATION: MAKZ_R_P_f Misfit:    3.15377750E-02
 STATION: MAKZ_Z_P_f Misfit:    1.81486197E-02
 STATION: MBWA_R_P_f Misfit:    7.90977925E-02
 STATION: MBWA_Z_P_f Misfit:    2.90534943E-02
 STATION: NIL_Z_P_ff Misfit:    3.98754701E-02
 STATION: PALK_Z_P_f Misfit:   0.242861271    
 STATION: PMG_Z_P_ff Misfit:    8.61711800E-02
