 ************************  INITIAL MISFIT ************************ 
 STATION: ADK_R_P_ff Misfit:    2.44902873    
 STATION: BILL_Z_P_f Misfit:   0.118623927    
 STATION: BRVK_Z_P_f Misfit:    6.89024329E-02
 STATION: COLA_R_P_f Misfit:   0.112359889    
 STATION: COLA_Z_P_f Misfit:   0.235100120    
 STATION: GUMO_R_P_f Misfit:   0.276809782    
 STATION: GUMO_Z_P_f Misfit:   0.167545393    
 STATION: JOHN_Z_P_f Misfit:    8.44997093E-02
 STATION: KDAK_R_P_f Misfit:   0.118753158    
 STATION: KDAK_Z_P_f Misfit:   0.188745946    
 STATION: KURK_R_P_f Misfit:    8.42952654E-02
 STATION: KURK_Z_P_f Misfit:   0.202806115    
 STATION: MAKZ_R_P_f Misfit:   0.213373020    
 STATION: MAKZ_Z_P_f Misfit:   0.211510479    
 STATION: MIDW_Z_P_f Misfit:   0.370803326    
 STATION: TATO_R_P_f Misfit:   0.126602843    
 STATION: TATO_Z_P_f Misfit:    6.46509677E-02
 STATION: TIXI_R_P_f Misfit:   0.210890532    
 STATION: TIXI_Z_P_f Misfit:   0.125056490    
 STATION: TLY_R_P_ff Misfit:    7.35008866E-02
 STATION: TLY_Z_P_ff Misfit:    7.80635476E-02
 STATION: ADK_R_S_ff Misfit:   0.629981518    
 STATION: ADK_Z_S_ff Misfit:   0.580853641    
 STATION: BILL_Z_S_f Misfit:   0.346199572    
 STATION: BRVK_T_S_f Misfit:    8.28421786E-02
 STATION: BRVK_Z_S_f Misfit:    5.29319048E-02
 STATION: COLA_R_S_f Misfit:    4.51512896E-02
 STATION: COLA_T_S_f Misfit:    3.69722098E-02
 STATION: COLA_Z_S_f Misfit:    6.73222616E-02
 STATION: GUMO_R_S_f Misfit:   0.201969087    
 STATION: GUMO_Z_S_f Misfit:   0.694885314    
 STATION: JOHN_T_S_f Misfit:    8.48638862E-02
 STATION: JOHN_Z_S_f Misfit:    9.26475897E-02
 STATION: KDAK_Z_S_f Misfit:    1.09448719    
 STATION: KURK_R_S_f Misfit:    9.08686593E-02
 STATION: KURK_T_S_f Misfit:    3.60027775E-02
 STATION: KURK_Z_S_f Misfit:    3.39867622E-02
 STATION: MAKZ_R_S_f Misfit:   0.107909620    
 STATION: MAKZ_T_S_f Misfit:    4.67559397E-02
 STATION: MAKZ_Z_S_f Misfit:   0.170238435    
 STATION: TATO_R_S_f Misfit:    8.52402374E-02
 STATION: TATO_T_S_f Misfit:    7.32855499E-02
 STATION: TATO_Z_S_f Misfit:   0.116214029    
 STATION: TIXI_R_S_f Misfit:   0.349263102    
 STATION: TIXI_Z_S_f Misfit:   0.290160030    
 STATION: TLY_R_S_ff Misfit:   0.148073927    
 STATION: TLY_T_S_ff Misfit:    4.62539978E-02
 STATION: TLY_Z_S_ff Misfit:    7.86605775E-02
 ***
 Total misfit:   0.217471510    
 ***
 ************************ BEST MODEL ************************ 
 Spatial centroid module:    0.00000000      angle:    0.00000000    
 Temporal centroid:   0.713027716    
 Duration:    8.96251774    
 Velocity abs:    1.56494761      velocity angle:    9.06595707    
 Amax:    56.6655197      Amin:    28.3327599      phi:   -43.2767372    
 Strike:    59.0000000      dip:    64.0000000    
 ***********************
 STATION: ADK_R_P_ff Misfit:    1.90238202    
 STATION: BILL_Z_P_f Misfit:    9.68162566E-02
 STATION: BRVK_Z_P_f Misfit:    5.50113879E-02
 STATION: COLA_R_P_f Misfit:   0.102967359    
 STATION: COLA_Z_P_f Misfit:   0.244255155    
 STATION: GUMO_R_P_f Misfit:   0.234777197    
 STATION: GUMO_Z_P_f Misfit:   0.156604841    
 STATION: JOHN_Z_P_f Misfit:   0.102476314    
 STATION: KDAK_R_P_f Misfit:    9.45544690E-02
 STATION: KDAK_Z_P_f Misfit:   0.171568930    
 STATION: KURK_R_P_f Misfit:    9.74391997E-02
 STATION: KURK_Z_P_f Misfit:   0.197245598    
 STATION: MAKZ_R_P_f Misfit:   0.227961808    
 STATION: MAKZ_Z_P_f Misfit:   0.249191955    
 STATION: MIDW_Z_P_f Misfit:   0.328704804    
 STATION: TATO_R_P_f Misfit:   0.128309965    
 STATION: TATO_Z_P_f Misfit:    7.13391826E-02
 STATION: TIXI_R_P_f Misfit:   0.102969475    
 STATION: TIXI_Z_P_f Misfit:    8.25450122E-02
 STATION: TLY_R_P_ff Misfit:    5.53609803E-02
 STATION: TLY_Z_P_ff Misfit:    5.72163835E-02
 STATION: ADK_R_S_ff Misfit:   0.472090274    
 STATION: ADK_Z_S_ff Misfit:   0.411229044    
 STATION: BILL_Z_S_f Misfit:   0.257788926    
 STATION: BRVK_T_S_f Misfit:    7.30882138E-02
 STATION: BRVK_Z_S_f Misfit:    3.23241353E-02
 STATION: COLA_R_S_f Misfit:    5.54697476E-02
